episode,total_reward,success,steps_taken
289,-200.0,False,200
290,-200.0,False,200
291,-200.0,False,200
292,-200.0,False,200
293,-200.0,False,200
294,-200.0,False,200
295,-200.0,False,200
296,-200.0,False,200
297,-200.0,False,200
298,-200.0,False,200
299,-200.0,False,200
300,-200.0,False,200
301,-200.0,False,200
302,-200.0,False,200
303,-200.0,False,200
304,-200.0,False,200
305,-200.0,False,200
306,-200.0,False,200
307,-200.0,False,200
308,-200.0,False,200
309,-200.0,False,200
310,-200.0,False,200
311,-200.0,False,200
312,-200.0,False,200
313,-200.0,False,200
314,-200.0,False,200
315,-200.0,False,200
316,-200.0,False,200
317,-200.0,False,200
318,-200.0,False,200
319,-200.0,False,200
320,-200.0,False,200
321,-163.0,True,163
322,-168.0,True,168
323,-200.0,False,200
324,-200.0,False,200
325,-200.0,False,200
326,-200.0,False,200
327,-200.0,False,200
328,-200.0,False,200
329,-200.0,False,200
330,-200.0,False,200
331,-200.0,False,200
332,-200.0,False,200
333,-200.0,False,200
334,-200.0,False,200
335,-200.0,False,200
336,-200.0,False,200
337,-200.0,False,200
338,-200.0,False,200
339,-200.0,False,200
340,-200.0,False,200
341,-200.0,False,200
342,-200.0,False,200
343,-200.0,False,200
344,-200.0,False,200
345,-200.0,False,200
346,-200.0,False,200
347,-200.0,False,200
348,-200.0,False,200
349,-192.0,True,192
350,-200.0,False,200
351,-200.0,False,200
352,-200.0,False,200
353,-200.0,False,200
354,-200.0,False,200
355,-200.0,False,200
356,-200.0,False,200
357,-200.0,False,200
358,-194.0,True,194
359,-200.0,False,200
360,-181.0,True,181
361,-200.0,False,200
362,-185.0,True,185
363,-192.0,True,192
364,-178.0,True,178
365,-190.0,True,190
366,-200.0,False,200
367,-173.0,True,173
368,-198.0,True,198
369,-198.0,True,198
370,-200.0,False,200
371,-191.0,True,191
372,-172.0,True,172
373,-192.0,True,192
374,-200.0,False,200
375,-200.0,False,200
376,-174.0,True,174
377,-199.0,True,199
378,-200.0,False,200
379,-198.0,True,198
380,-178.0,True,178
381,-200.0,False,200
382,-200.0,False,200
383,-200.0,False,200
384,-200.0,False,200
385,-200.0,False,200
386,-200.0,False,200
387,-200.0,False,200
388,-200.0,False,200
389,-200.0,False,200
390,-160.0,True,160
391,-177.0,True,177
392,-158.0,True,158
393,-177.0,True,177
394,-200.0,False,200
395,-183.0,True,183
396,-178.0,True,178
397,-175.0,True,175
398,-172.0,True,172
399,-169.0,True,169
400,-200.0,False,200
401,-200.0,False,200
402,-200.0,False,200
403,-195.0,True,195
404,-190.0,True,190
405,-200.0,False,200
406,-200.0,False,200
407,-200.0,False,200
408,-200.0,False,200
409,-200.0,False,200
410,-200.0,False,200
411,-188.0,True,188
412,-200.0,False,200
413,-192.0,True,192
414,-200.0,False,200
415,-200.0,False,200
416,-200.0,False,200
417,-189.0,True,189
418,-200.0,False,200
419,-200.0,False,200
420,-200.0,False,200
421,-200.0,False,200
422,-200.0,False,200
423,-200.0,False,200
424,-200.0,False,200
425,-200.0,False,200
426,-200.0,False,200
427,-200.0,False,200
428,-200.0,False,200
429,-200.0,False,200
430,-200.0,False,200
431,-200.0,False,200
432,-200.0,False,200
433,-200.0,False,200
434,-200.0,False,200
435,-200.0,False,200
436,-200.0,False,200
437,-175.0,True,175
438,-200.0,False,200
439,-154.0,True,154
440,-200.0,False,200
441,-171.0,True,171
442,-200.0,False,200
443,-200.0,False,200
444,-200.0,False,200
445,-166.0,True,166
446,-169.0,True,169
447,-200.0,False,200
448,-200.0,False,200
449,-200.0,False,200
450,-200.0,False,200
451,-200.0,False,200
452,-200.0,False,200
453,-200.0,False,200
454,-200.0,False,200
455,-200.0,False,200
456,-200.0,False,200
457,-200.0,False,200
458,-200.0,False,200
459,-200.0,False,200
460,-200.0,False,200
461,-200.0,False,200
462,-200.0,False,200
463,-200.0,False,200
464,-200.0,False,200
465,-200.0,False,200
466,-200.0,False,200
467,-200.0,False,200
468,-200.0,False,200
469,-200.0,False,200
470,-200.0,False,200
471,-200.0,False,200
472,-200.0,False,200
473,-200.0,False,200
474,-200.0,False,200
475,-200.0,False,200
476,-200.0,False,200
477,-200.0,False,200
478,-200.0,False,200
479,-200.0,False,200
480,-200.0,False,200
481,-200.0,False,200
482,-160.0,True,160
483,-200.0,False,200
484,-200.0,False,200
485,-200.0,False,200
486,-200.0,False,200
487,-200.0,False,200
488,-155.0,True,155
489,-158.0,True,158
490,-161.0,True,161
491,-166.0,True,166
492,-200.0,False,200
493,-200.0,False,200
494,-162.0,True,162
495,-200.0,False,200
496,-162.0,True,162
497,-167.0,True,167
498,-200.0,False,200
499,-200.0,False,200
500,-200.0,False,200
501,-200.0,False,200
502,-200.0,False,200
503,-200.0,False,200
504,-171.0,True,171
505,-200.0,False,200
506,-200.0,False,200
507,-200.0,False,200
508,-180.0,True,180
509,-200.0,False,200
510,-200.0,False,200
511,-200.0,False,200
512,-200.0,False,200
513,-164.0,True,164
514,-165.0,True,165
515,-167.0,True,167
516,-200.0,False,200
517,-200.0,False,200
518,-200.0,False,200
519,-200.0,False,200
520,-165.0,True,165
521,-200.0,False,200
522,-200.0,False,200
523,-200.0,False,200
524,-159.0,True,159
525,-200.0,False,200
526,-169.0,True,169
527,-157.0,True,157
528,-200.0,False,200
529,-200.0,False,200
530,-200.0,False,200
531,-200.0,False,200
532,-200.0,False,200
533,-200.0,False,200
534,-200.0,False,200
535,-200.0,False,200
536,-200.0,False,200
537,-200.0,False,200
538,-200.0,False,200
539,-200.0,False,200
540,-200.0,False,200
541,-200.0,False,200
542,-200.0,False,200
543,-200.0,False,200
544,-200.0,False,200
545,-200.0,False,200
546,-200.0,False,200
547,-200.0,False,200
548,-200.0,False,200
549,-159.0,True,159
550,-159.0,True,159
551,-159.0,True,159
552,-200.0,False,200
553,-200.0,False,200
554,-200.0,False,200
555,-154.0,True,154
556,-200.0,False,200
557,-200.0,False,200
558,-200.0,False,200
559,-200.0,False,200
560,-200.0,False,200
561,-159.0,True,159
562,-200.0,False,200
563,-200.0,False,200
564,-200.0,False,200
565,-200.0,False,200
566,-200.0,False,200
567,-200.0,False,200
568,-200.0,False,200
569,-200.0,False,200
570,-200.0,False,200
571,-200.0,False,200
572,-200.0,False,200
573,-200.0,False,200
574,-200.0,False,200
575,-168.0,True,168
576,-200.0,False,200
577,-200.0,False,200
578,-200.0,False,200
579,-200.0,False,200
580,-200.0,False,200
581,-200.0,False,200
582,-200.0,False,200
583,-200.0,False,200
584,-171.0,True,171
585,-200.0,False,200
586,-200.0,False,200
587,-200.0,False,200
588,-200.0,False,200
589,-200.0,False,200
590,-200.0,False,200
591,-200.0,False,200
592,-200.0,False,200
593,-200.0,False,200
594,-200.0,False,200
595,-200.0,False,200
596,-200.0,False,200
597,-200.0,False,200
598,-200.0,False,200
599,-166.0,True,166
600,-158.0,True,158
601,-154.0,True,154
602,-152.0,True,152
603,-151.0,True,151
604,-164.0,True,164
605,-161.0,True,161
606,-159.0,True,159
607,-152.0,True,152
608,-156.0,True,156
609,-156.0,True,156
610,-158.0,True,158
611,-165.0,True,165
612,-166.0,True,166
613,-161.0,True,161
614,-159.0,True,159
615,-166.0,True,166
616,-149.0,True,149
617,-161.0,True,161
618,-125.0,True,125
619,-151.0,True,151
620,-159.0,True,159
621,-156.0,True,156
622,-153.0,True,153
623,-160.0,True,160
624,-164.0,True,164
625,-161.0,True,161
626,-171.0,True,171
627,-162.0,True,162
628,-165.0,True,165
629,-163.0,True,163
630,-169.0,True,169
631,-174.0,True,174
632,-186.0,True,186
633,-165.0,True,165
634,-181.0,True,181
635,-180.0,True,180
636,-168.0,True,168
637,-200.0,False,200
638,-200.0,False,200
639,-162.0,True,162
640,-200.0,False,200
641,-169.0,True,169
642,-200.0,False,200
643,-200.0,False,200
644,-200.0,False,200
645,-200.0,False,200
646,-200.0,False,200
647,-200.0,False,200
648,-200.0,False,200
649,-200.0,False,200
650,-200.0,False,200
651,-200.0,False,200
652,-200.0,False,200
653,-200.0,False,200
654,-200.0,False,200
655,-200.0,False,200
656,-200.0,False,200
657,-200.0,False,200
658,-200.0,False,200
659,-200.0,False,200
660,-200.0,False,200
661,-200.0,False,200
662,-200.0,False,200
663,-200.0,False,200
664,-200.0,False,200
665,-200.0,False,200
666,-200.0,False,200
667,-200.0,False,200
668,-200.0,False,200
669,-200.0,False,200
670,-200.0,False,200
671,-200.0,False,200
672,-200.0,False,200
673,-200.0,False,200
674,-200.0,False,200
675,-200.0,False,200
676,-200.0,False,200
677,-200.0,False,200
678,-200.0,False,200
